delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
117.0,M_lower_octant,81.99592592593746,2,-0.049388048375108004,-0.06248903533871024,0.0,33.52275029918412,42.187993409758036,8.573104999445892,0.30499999999807975,0.45099999999999996,0.022222222222222223
120.0,M_free23+free13,66.60000000074194,3,-0.049388048381839675,-0.06248903532160855,0.0017616731062498102,33.52275029894673,42.18799341052761,8.588208007960471,0.3049999999942647,0.4510000000133669,0.022299999999996746
125.0,M_free23+free13,45.100000000330695,3,-0.04938804838174479,-0.06248903533871136,0.0017616731008817462,33.52275029895007,42.187993409757986,8.588208007914451,0.30499999999431837,0.45099999999999907,0.022299999999759557
126.0,M_free23+free13,41.4000000010346,3,-0.049388048381760655,-0.062489035321528066,0.001761673100935744,33.52275029894951,42.187993410531234,8.588208007914913,0.3049999999943093,0.45100000001342994,0.022299999999761934
128.0,M_free23+free13,34.60000000032809,3,-0.049388048381760766,-0.062489035338717316,0.0017616731009359038,33.52275029894951,42.187993409757716,8.588208007914917,0.3049999999943093,0.45099999999999446,0.02229999999976195
130.0,M_free23+free13,28.600000000054404,3,-0.04938804838168387,-0.062489035338896735,0.0017616731068974473,33.52275029895222,42.187993409749645,8.588208007966024,0.30499999999435295,0.4509999999998543,0.02230000000002537
132.0,M_free23+free13,23.400000000327495,3,-0.04938804838176108,-0.06248903533871031,0.00176167310094078,33.522750298949504,42.18799340975803,8.588208007914957,0.3049999999943093,0.4509999999999998,0.02229999999976216
135.0,M_free23+free13,17.10000000024957,3,-0.0493880483825383,-0.06248903533353776,0.0017616731063234135,33.5227502989221,42.187993409990796,8.588208007961102,0.30499999999386873,0.45100000000404283,0.022300000000000004
136.0,M_free23+free13,15.400000000050483,3,-0.04938804838174219,-0.06248903533840001,0.0017616731065063632,33.522750298950164,42.18799340977199,8.588208007962672,0.30499999999431987,0.45100000000024243,0.022300000000008095
138.0,M_free23+free13,12.600000000419138,3,-0.04938804838176111,-0.06248903533871313,0.0017616730992614958,33.5227502989495,42.18799340975791,8.58820800790056,0.3049999999943092,0.45099999999999774,0.02229999999968796
140.0,M_free23+free13,10.600000000419042,3,-0.049388048381760766,-0.06248903533870926,0.0017616730992613347,33.52275029894951,42.18799340975807,8.588208007900558,0.3049999999943093,0.45100000000000073,0.02229999999968795
144.0,M_free23+free13,9.000000000419018,3,-0.04938804838176103,-0.0624890353387105,0.001761673099261258,33.522750298949504,42.18799340975802,8.588208007900558,0.3049999999943093,0.4509999999999998,0.02229999999968795
